"X","Title","Series.or.Movie","Genre.shelf.1","Genre.shelf.2","Genre.shelf.3","Genre.shelf.4","Genre.shelf.5","Genre.shelf.6","Genre.shelf.7","Genre.shelf.8","Genre.shelf.9","Genre.shelf.10","Genre.shelf.12","Genre.shelf.13","Tags.shelf.1","Tags.shelf.2","Tags.shelf.3","Tags.shelf.4","Tags.shelf.5","Tags.shelf.6","Tags.shelf.7","Tags.shelf.8","Tags.shelf.9","Tags.shelf.10","Tags.shelf.12","Tags.shelf.13","Tags.shelf.14","Tags.shelf.15","Tags.shelf.16","Tags.shelf.17","Tags.shelf.18","Tags.shelf.19","Tags.shelf.20","Tags.shelf.21","Tags.shelf.22","Tags.shelf.23","Tags.shelf.24","Tags.shelf.25","Tags.shelf.26","Tags.shelf.27","Tags.shelf.28","Tags.shelf.29","Tags.shelf.30","Tags.shelf.31","Tags.shelf.32","Tags.shelf.33","IMDb.Score"
11,"I","Movie","Action","Adventure","Fantasy","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Swedish Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
15,"The Coroner","Series","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mystery Programmes","Drama Programmes","Crime TV Dramas","Canadian TV Programmes","TV Programmes Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
17,"Comrades: Almost a Love Story","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Chinese Movies","Dramas","Romantic Movies","Hong Kong Movies","Romantic Favorites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
18,"The Closet","Movie","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Horror Movies","Mysteries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
19,"The Mysterians","Movie","Action","Family","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Alien Sci-Fi","Japanese Movies","Classic Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
37,"Alice","Series","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TV Mysteries","TV Dramas","Korean TV Shows","TV Thrillers","Futuristic Sci-Fi","Sci-Fi TV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
40,"Ordinary People","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Thriller Movies","Crime Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7
44,"The Return","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
47,"Stand by Me","Movie","Adventure","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
50,"Intimate Strangers","Movie","Drama","Romance","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
70,"Above Suspicion","Movie","Action","Biography","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Films Based on Real Life","Dramas","Crime Dramas","Thrillers","Films Based on Books","Crime Thrillers","Police Thrillers","Police Movies","Police Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5
72,"Red","Movie","Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Crime Movies","Crime Dramas","Indian Movies","Telugu-Language Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
82,"Love","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psychological Thrillers","Dramas","Thrillers","Indian Films","Malayalam-language Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1
90,"The Shadow","Movie","Action","Adventure","Crime","Fantasy","Mystery","Thriller",NA,NA,NA,NA,NA,NA,"Action & Adventure","Adventures","Crime Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1
94,"Awara Paagal Deewana","Movie","Action","Comedy","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Bollywood Films","Dramas","Comedies","Indian Films","Action Comedies","Hindi-language Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
97,"Repo Man","Movie","Action","Comedy","Crime","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,"Comedies","Independent Movies","Classic Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
98,"For Love of the Game","Movie","Drama","Romance","Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Sports Movies","Dramas","Sports Dramas","Romantic Movies","Movies Based on Books","Romantic Favorites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6
100,"The Replacement Killers","Movie","Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Crime Films","Crime Action & Adventure","Gangster Films","Action Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
102,"Story of Women","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Period Pieces","Award-winning Dramas","French",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
103,"The Flower of Evil","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","French",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
104,"The Swindle","Movie","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comedies","Thriller Movies","French",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5
105,"Madame Bovary","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Dramas","Romantic Movies","Movies Based on Books","Period Pieces","French",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
119,"Lassie Come Home","Movie","Adventure","Drama","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Children & Family Movies","Dramas","Adventures","Family Dramas","Family Features","Family Adventures","German Dramas","German Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1
143,"Angel","Movie","Action","Drama","Fantasy","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Music & Musicals","Swedish Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9
153,"The Great Race","Movie","Action","Adventure","Comedy","Family","Romance","Sport","Western",NA,NA,NA,NA,NA,"Children & Family Movies","Action & Adventure","Comedies","Adventures","Classic Movies","Action Comedies","Family Features","Family Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3
167,"Alone","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psychological Thrillers","Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
197,"Cromartie High School","Series","Animation","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anime Series","Comedy Anime","School Anime","Anime Based on Comics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7
199,"Affliction","Movie","Drama","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Horror Films","Indonesian Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
216,"Nowhere to Run","Movie","Action","Drama","Romance","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Crime Films","Martial Arts Films","Crime Action & Adventure","Action Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7
250,"The Chamber","Movie","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Courtroom Dramas","Social Issue Dramas","Dramas","Crime Dramas","Movies Based on Books",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
254,"My Girl","Series","Comedy","Drama","Family","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"TV Comedies","Romantic TV Comedies","Korean TV Shows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9
263,"The Elephant Man","Movie","Biography","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Movies Based on Real Life","Dramas","Independent Movies","Movies Based on Books","Period Pieces","Award-winning Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
265,"Cesar and Rosalie","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Romantic Comedies","Dramas","Comedies","Romantic Movies","Award-winning Dramas","French",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
268,"Blues Brothers 2000","Movie","Action","Comedy","Crime","Music","Musical",NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Comedies","Action Comedies","Music & Musicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9
277,"Gangaajal","Movie","Action","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social Issue Dramas","Bollywood Films","Dramas","Crime Dramas","Indian Films","Hindi-language Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
291,"A Moment of Romance","Movie","Action","Crime","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Chinese Movies","Romantic Movies","Crime Action & Adventure","Classic Movies","Hong Kong Movies","Romantic Favorites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4
296,"Butterfly","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Korean Movies","Documentary Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
298,"High Life","Movie","Adventure","Drama","Horror","Mystery","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Sci-Fi Dramas","Thriller Movies","Sci-Fi Thrillers","German Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
347,"The Guns of Navarone","Movie","Action","Adventure","Drama","War",NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Military Action & Adventure","Movies Based on Books","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
363,"The Guys","Movie","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Comedies","Comedies","Romantic Films","Indonesian Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3
368,"Nemesis","Movie","Action","Sci-Fi","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Crime Films","Crime Dramas","Thrillers","Crime Thrillers","Thai Films","Thai Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
369,"Spiral","Movie","Crime","Drama","Mystery",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Action & Adventure","Russian Movies","Action Thrillers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5
