"Movie_ID","Year","Name"
48,2001,"Justice League"
56,2004,"Carandiru"
58,1996,"Dragonheart"
64,2001,"Outside the Law"
77,1995,"Congo"
104,1965,"The Great Race"
105,2002,"Obsessed"
110,1989,"Scandal"
125,1981,"Nighthawks"
143,1997,"The Game"
148,2001,"Sweet November"
152,1995,"A Little Princess"
166,1980,"Fame"
175,1992,"Reservoir Dogs"
181,2004,"The Last Shot"
197,2004,"Taking Lives"
252,2002,"Stuart Little 2"
275,2002,"Evelyn"
289,1998,"The Avengers"
295,1995,"Ace Ventura: When Nature Calls"
313,2000,"Pay It Forward"
330,1998,"Wild Things"
346,2005,"Up and Down"
361,2004,"The Phantom of the Opera: Special Edition"
384,1986,"Crossroads"
393,1998,"The Replacement Killers"
398,1976,"In the Realm of the Senses"
402,1999,"Pan Tadeusz"
414,1999,"Girl"
438,1997,"Bean: The Movie"
471,1931,"City Lights"
473,1997,"Princess Mononoke"
483,2001,"Rush Hour 2"
486,1959,"Journey to the Center of the Earth"
499,2000,"Under Suspicion"
548,1991,"Hudson Hawk"
550,1995,"First Knight"
558,1994,"Fantastic Four"
563,2001,"Jimmy Neutron: Boy Genius"
564,1990,"Predator 2"
569,1979,"The In-Laws"
570,2000,"The Visit"
571,1999,"American Beauty"
599,1989,"Sea of Love"
602,2000,"Tokyo Raiders"
636,1980,"Stir Crazy"
659,1972,"The Last House on the Left"
681,1986,"Police Academy 3: Back in Training"
701,2002,"Nine Lives"
707,2003,"The Return"
708,2000,"The Perfect Storm"
758,2004,"Mean Girls"
780,2003,"Churchill"
798,1975,"Jaws"
851,1990,"Back to the Future Part III"
886,2004,"Ray"
907,1930,"Animal Crackers"
908,1981,"Sense and Sensibility"
937,1998,"Fallen"
938,2002,"Scarecrow"
940,1997,"Hercules"
942,1994,"The Pagemaster"
953,1966,"Fahrenheit 451"
954,2003,"I Capture the Castle"
960,1960,"The Unforgiven"
962,2002,"I Spy"
967,2004,"Main Hoon Na"
979,1990,"A Moment of Romance"
980,1994,"The Swan Princess"
982,2001,"Dil Chahta Hai"
